Species;Year;Colony;BS;N;Successes;SST
Atlantic puffin;1978;Rost;0;25;0;7.808816308
Atlantic puffin;1979;Rost;0;31;0;7.506369612
Atlantic puffin;1980;Rost;0;5;0;7.333357038
Atlantic puffin;1981;Rost;0;10;0;7.624476735
Atlantic puffin;1982;Rost;0;11;0;7.042587851
Atlantic puffin;1983;Rost;0.88;57;50;7.333630393
Atlantic puffin;1984;Rost;0.47;32;15;7.887201334
Atlantic puffin;1985;Rost;0.77;31;24;7.749615979
Atlantic puffin;1986;Rost;0;72;0;6.904932468
Atlantic puffin;1987;Rost;0;8;0;6.531706297
Atlantic puffin;1988;Hornoya;0.9;49;44;3.792877553
Atlantic puffin;1988;Rost;0.24;50;12;6.841364473
Atlantic puffin;1989;Hornoya;0.81;42;34;3.617256497
Atlantic puffin;1989;Rost;0.88;83;73;7.556443657
Atlantic puffin;1990;Hornoya;0.83;40;33;4.100266869
Atlantic puffin;1990;Rost;0.8;92;74;7.281430077
Atlantic puffin;1991;Hornoya;NA;NA;NA;3.857712284
Atlantic puffin;1991;Rost;0.92;99;91;6.543774191
Atlantic puffin;1992;Hornoya;0.83;40;33;3.854670538
Atlantic puffin;1992;Rost;0.96;121;116;7.04459588
Atlantic puffin;1993;Hornoya;0.78;40;31;4.105020869
Atlantic puffin;1993;Rost;0.51;92;47;6.968772484
Atlantic puffin;1994;Hornoya;NA;NA;NA;3.645828075
Atlantic puffin;1994;Rost;0.02;55;1;6.517252837
Atlantic puffin;1995;Hornoya;0.88;42;37;4.038175244
Atlantic puffin;1995;Rost;0;1;0;7.32706722
Atlantic puffin;1996;Hornoya;0.86;43;37;3.49922991
Atlantic puffin;1996;Rost;0.25;67;17;7.14093149
Atlantic puffin;1997;Hornoya;0.93;40;37;3.598719917
Atlantic puffin;1997;Rost;0;150;0;7.261649618
Atlantic puffin;1998;Hornoya;0.92;37;34;3.683112791
Atlantic puffin;1998;Rost;0.01;117;1;6.732563649
Atlantic puffin;1999;Hornoya;NA;NA;NA;3.497592188
Atlantic puffin;1999;Rost;0.71;94;67;7.029881472
Atlantic puffin;2000;Hornoya;0.87;39;34;3.411878439
Atlantic puffin;2000;Rost;0.02;98;2;6.767968632
Atlantic puffin;2001;Hornoya;0.79;38;30;3.090881444
Atlantic puffin;2001;Rost;0.84;96;81;6.852731082
Atlantic puffin;2002;Hornoya;0.9;39;35;3.058199527
Atlantic puffin;2002;Rost;0.91;96;87;6.611688202
Atlantic puffin;2003;Hornoya;0.89;37;33;4.307268964
Atlantic puffin;2003;Rost;0.35;85;30;6.960908166
Atlantic puffin;2004;Hornoya;0.84;44;37;3.805013426
Atlantic puffin;2004;Rost;0.88;65;57;6.546337713
Atlantic puffin;2005;Hornoya;0.83;41;34;3.710914965
Atlantic puffin;2005;Rost;0.08;51;4;7.224086005
Atlantic puffin;2006;Anda;0.74;50;37;5.755579086
Atlantic puffin;2006;Hjelmsoya;0;102;0;4.371210369
Atlantic puffin;2006;Hornoya;0.75;48;36;3.680956491
Atlantic puffin;2006;Rost;0.88;57;50;6.855370981
Atlantic puffin;2007;Anda;0.37;54;20;5.995003865
Atlantic puffin;2007;Hjelmsoya;0.2;102;20;4.43387959
Atlantic puffin;2007;Hornoya;0.741;54;40;3.406791473
Atlantic puffin;2007;Rost;0;33;0;7.052630828
Atlantic puffin;2007;Sklinna1;0.26;19;5;7.179970152
Atlantic puffin;2008;Anda;0.28;43;12;6.740123477
Atlantic puffin;2008;Hjelmsoya;NA;NA;NA;5.321899947
Atlantic puffin;2008;Hornoya;0.6;50;30;4.773165562
Atlantic puffin;2008;Rost;0;0;0;7.808816308
Atlantic puffin;2008;Sklinna1;0;0;0;7.718975091
Atlantic puffin;2009;Anda;0.49;47;23;6.669890266
Atlantic puffin;2009;Hjelmsoya;NA;NA;NA;5.133429679
Atlantic puffin;2009;Hornoya;0.77;52;40;4.343479312
Atlantic puffin;2009;Rost;0;31;0;7.506369612
Atlantic puffin;2009;Sklinna1;0.35;28;10;7.438458067
Atlantic puffin;2010;Anda;NA;NA;NA;6.087332782
Atlantic puffin;2010;Hjelmsoya;NA;NA;NA;5.405932405
Atlantic puffin;2010;Hornoya;0.8;56;45;4.827876456
Atlantic puffin;2010;Rost;0;9;0;7.333357038
Atlantic puffin;2010;Sklinna1;0.67;3;2;7.332247651
Atlantic puffin;2011;Anda;0.75;53;40;6.201724491
Atlantic puffin;2011;Hjelmsoya;0.13;68;9;5.19258528
Atlantic puffin;2011;Hornoya;0.23;54;12;4.218659506
Atlantic puffin;2011;Rost;0;8;0;7.624476735
Atlantic puffin;2011;Runde1;0;34;0;8.190707006
Atlantic puffin;2011;Sklinna1;0.65;17;11;7.825072198
Atlantic puffin;2012;Anda;NA;NA;NA;5.904725236
Atlantic puffin;2012;Hjelmsoya;0.3;74;22;4.917804134
Atlantic puffin;2012;Hornoya;0.25;68;17;3.934927655
Atlantic puffin;2012;Rost;0;0;0;7.042587851
Atlantic puffin;2012;Runde1;0.42;48;20;7.837992556
Atlantic puffin;2012;Sklinna1;NA;NA;NA;7.439263515
Atlantic puffin;2013;Anda;0.62;60;37;6.186067911
Atlantic puffin;2013;Hjelmsoya;0.16;78;12;5.339095473
Atlantic puffin;2013;Hornoya;0.65;40;26;4.280704575
Atlantic puffin;2013;Rost;0;0;0;7.333630393
Atlantic puffin;2013;Runde1;0.16;45;7;8.184394277
Atlantic puffin;2013;Sklinna1;0.25;16;4;7.892801751
Atlantic puffin;2014;Anda;0.58;53;31;6.814244686
Atlantic puffin;2014;Hjelmsoya;0.91;59;54;5.825370174
Atlantic puffin;2014;Hornoya;0.19;31;6;5.049181139
Atlantic puffin;2014;Rost;0;18;0;7.887201334
Atlantic puffin;2014;Runde1;0.37;35;13;8.812227455
Atlantic puffin;2014;Sklinna1;0.22;18;4;8.226814527
Atlantic puffin;2015;Anda;0.72;42;30;6.484701438
Atlantic puffin;2015;Hjelmsoya;0.34;29;10;5.704127627
Atlantic puffin;2015;Hornoya;0.22;22;5;4.853020302
Atlantic puffin;2015;Rost;0;27;0;7.749615979
