year;species;site;year;season;MeanAut_SST
1980;Atlantic puffin;Anda;1980;Aut;5.549159216
1981;Atlantic puffin;Anda;1981;Aut;5.650132376
1982;Atlantic puffin;Anda;1982;Aut;4.639533271
1983;Atlantic puffin;Anda;1983;Aut;5.986381055
1984;Atlantic puffin;Anda;1984;Aut;6.063343886
1985;Atlantic puffin;Anda;1985;Aut;5.738027504
1986;Atlantic puffin;Anda;1986;Aut;5.692471263
1987;Atlantic puffin;Anda;1987;Aut;4.920148405
1988;Atlantic puffin;Anda;1988;Aut;5.668148253
1989;Atlantic puffin;Anda;1989;Aut;5.721622555
1990;Atlantic puffin;Anda;1990;Aut;6.532594174
1991;Atlantic puffin;Anda;1991;Aut;5.83140579
1992;Atlantic puffin;Anda;1992;Aut;5.815652216
1993;Atlantic puffin;Anda;1993;Aut;6.499133401
1994;Atlantic puffin;Anda;1994;Aut;6.168117236
1995;Atlantic puffin;Anda;1995;Aut;5.509371298
1996;Atlantic puffin;Anda;1996;Aut;5.652313132
1997;Atlantic puffin;Anda;1997;Aut;5.701177278
1998;Atlantic puffin;Anda;1998;Aut;6.610647633
1999;Atlantic puffin;Anda;1999;Aut;6.160636927
2000;Atlantic puffin;Anda;2000;Aut;6.228357934
2001;Atlantic puffin;Anda;2001;Aut;7.070703625
2002;Atlantic puffin;Anda;2002;Aut;6.28812486
2003;Atlantic puffin;Anda;2003;Aut;5.2777784
2004;Atlantic puffin;Anda;2004;Aut;7.62687548
2005;Atlantic puffin;Anda;2005;Aut;6.820960773
2006;Atlantic puffin;Anda;2006;Aut;6.595820092
2007;Atlantic puffin;Anda;2007;Aut;7.081863553
2008;Atlantic puffin;Anda;2008;Aut;5.559407619
2009;Atlantic puffin;Anda;2009;Aut;5.604029321
2010;Atlantic puffin;Anda;2010;Aut;5.930223209
2011;Atlantic puffin;Anda;2011;Aut;7.561362245
2012;Atlantic puffin;Anda;2012;Aut;6.722977835
2013;Atlantic puffin;Anda;2013;Aut;8.380840264
2014;Atlantic puffin;Anda;2014;Aut;7.087590352
2015;Atlantic puffin;Anda;2015;Aut;7.251009481
2016;Atlantic puffin;Anda;2016;Aut;6.587059046
2017;Atlantic puffin;Anda;2017;Aut;6.651751809
2018;Atlantic puffin;Anda;2018;Aut;5.743424112
2019;Atlantic puffin;Anda;2019;Aut;7.159575315
2020;Atlantic puffin;Anda;2020;Aut;7.390672928
2021;Atlantic puffin;Anda;2021;Aut;7.075118668
2022;Atlantic puffin;Anda;2022;Aut;7.01861112
2023;Atlantic puffin;Anda;2023;Aut;6.310595803
2024;Atlantic puffin;Anda;2024;Aut;7.039365575
2025;Atlantic puffin;Anda;2025;Aut;7.269036865
2026;Atlantic puffin;Anda;2026;Aut;8.114651439
2027;Atlantic puffin;Anda;2027;Aut;7.461294606
2028;Atlantic puffin;Anda;2028;Aut;7.362207031
2029;Atlantic puffin;Anda;2029;Aut;7.807233867
2030;Atlantic puffin;Anda;2030;Aut;7.532446089
2031;Atlantic puffin;Anda;2031;Aut;6.862589251
2032;Atlantic puffin;Anda;2032;Aut;6.850403733
2033;Atlantic puffin;Anda;2033;Aut;6.866474489
2034;Atlantic puffin;Anda;2034;Aut;7.661398866
2035;Atlantic puffin;Anda;2035;Aut;7.467161985
2036;Atlantic puffin;Anda;2036;Aut;7.414221992
2037;Atlantic puffin;Anda;2037;Aut;8.125873903
2038;Atlantic puffin;Anda;2038;Aut;7.346345895
2039;Atlantic puffin;Anda;2039;Aut;6.258008013
2040;Atlantic puffin;Anda;2040;Aut;8.676273433
