SST;Year;Colony;Species
1.94302048;1950;Bjornoya;Common guillemot
1.365380286;1951;Bjornoya;Common guillemot
1.447973909;1952;Bjornoya;Common guillemot
1.149734777;1953;Bjornoya;Common guillemot
1.890209284;1954;Bjornoya;Common guillemot
2.077548911;1955;Bjornoya;Common guillemot
-0.288717588;1956;Bjornoya;Common guillemot
0.088494135;1957;Bjornoya;Common guillemot
-0.272369815;1958;Bjornoya;Common guillemot
-2.275666482;1959;Bjornoya;Common guillemot
0.428012854;1960;Bjornoya;Common guillemot
-1.036868535;1961;Bjornoya;Common guillemot
0.398064445;1962;Bjornoya;Common guillemot
1.202535477;1963;Bjornoya;Common guillemot
0.542453208;1964;Bjornoya;Common guillemot
0.656406484;1965;Bjornoya;Common guillemot
0.106155879;1966;Bjornoya;Common guillemot
-0.847067887;1967;Bjornoya;Common guillemot
1.216644594;1968;Bjornoya;Common guillemot
0.803474201;1969;Bjornoya;Common guillemot
1.154331954;1970;Bjornoya;Common guillemot
-0.333332748;1971;Bjornoya;Common guillemot
-1.5840545;1972;Bjornoya;Common guillemot
-1.132094923;1973;Bjornoya;Common guillemot
-2.527293817;1974;Bjornoya;Common guillemot
-2.120452585;1975;Bjornoya;Common guillemot
0.66648655;1976;Bjornoya;Common guillemot
-1.751259766;1977;Bjornoya;Common guillemot
1.256993962;1978;Bjornoya;Common guillemot
0.992552639;1979;Bjornoya;Common guillemot
1.94302048;1980;Bjornoya;Common guillemot
1.365380286;1981;Bjornoya;Common guillemot
1.447973909;1982;Bjornoya;Common guillemot
1.149734777;1983;Bjornoya;Common guillemot
1.890209284;1984;Bjornoya;Common guillemot
2.077548911;1985;Bjornoya;Common guillemot
-0.288717588;1986;Bjornoya;Common guillemot
0.088494135;1987;Bjornoya;Common guillemot
-0.272369815;1988;Bjornoya;Common guillemot
-2.275666482;1989;Bjornoya;Common guillemot
0.428012854;1990;Bjornoya;Common guillemot
-1.036868535;1991;Bjornoya;Common guillemot
0.398064445;1992;Bjornoya;Common guillemot
1.202535477;1993;Bjornoya;Common guillemot
0.542453208;1994;Bjornoya;Common guillemot
0.656406484;1995;Bjornoya;Common guillemot
0.106155879;1996;Bjornoya;Common guillemot
-0.847067887;1997;Bjornoya;Common guillemot
1.216644594;1998;Bjornoya;Common guillemot
0.803474201;1999;Bjornoya;Common guillemot
1.154331954;2000;Bjornoya;Common guillemot
-0.333332748;2001;Bjornoya;Common guillemot
-1.5840545;2002;Bjornoya;Common guillemot
-1.132094923;2003;Bjornoya;Common guillemot
-2.527293817;2004;Bjornoya;Common guillemot
-2.120452585;2005;Bjornoya;Common guillemot
0.66648655;2006;Bjornoya;Common guillemot
-1.751259766;2007;Bjornoya;Common guillemot
1.256993962;2008;Bjornoya;Common guillemot
0.992552639;2009;Bjornoya;Common guillemot
1.94302048;2010;Bjornoya;Common guillemot
1.365380286;2011;Bjornoya;Common guillemot
1.447973909;2012;Bjornoya;Common guillemot
1.149734777;2013;Bjornoya;Common guillemot
1.890209284;2014;Bjornoya;Common guillemot
2.077548911;2015;Bjornoya;Common guillemot
-0.288717588;2016;Bjornoya;Common guillemot
0.088494135;2017;Bjornoya;Common guillemot
-0.272369815;2018;Bjornoya;Common guillemot
-2.275666482;2019;Bjornoya;Common guillemot
0.428012854;2020;Bjornoya;Common guillemot
1.969230665;2021;Bjornoya;Common guillemot
2.235575607;2022;Bjornoya;Common guillemot
2.1367332;2023;Bjornoya;Common guillemot
1.966636679;2024;Bjornoya;Common guillemot
2.305483191;2025;Bjornoya;Common guillemot
2.813183198;2026;Bjornoya;Common guillemot
2.929343453;2027;Bjornoya;Common guillemot
2.881608681;2028;Bjornoya;Common guillemot
2.00833073;2029;Bjornoya;Common guillemot
2.408503498;2030;Bjornoya;Common guillemot
2.444945753;2031;Bjornoya;Common guillemot
1.618237405;2032;Bjornoya;Common guillemot
1.923631392;2033;Bjornoya;Common guillemot
2.454784313;2034;Bjornoya;Common guillemot
2.928418544;2035;Bjornoya;Common guillemot
2.485242474;2036;Bjornoya;Common guillemot
2.426131551;2037;Bjornoya;Common guillemot
2.281069481;2038;Bjornoya;Common guillemot
1.67200186;2039;Bjornoya;Common guillemot
2.891431628;2040;Bjornoya;Common guillemot
2.805011081;2041;Bjornoya;Common guillemot
3.069714418;2042;Bjornoya;Common guillemot
3.087846152;2043;Bjornoya;Common guillemot
2.799106145;2044;Bjornoya;Common guillemot
2.712209666;2045;Bjornoya;Common guillemot
2.990736592;2046;Bjornoya;Common guillemot
3.27055958;2047;Bjornoya;Common guillemot
3.20788987;2048;Bjornoya;Common guillemot
3.500287643;2049;Bjornoya;Common guillemot
3.603229534;2050;Bjornoya;Common guillemot
5.727095709;1950;Hjelmsoya;Common guillemot
5.444818418;1951;Hjelmsoya;Common guillemot
5.127947391;1952;Hjelmsoya;Common guillemot
5.610845339;1953;Hjelmsoya;Common guillemot
6.065381273;1954;Hjelmsoya;Common guillemot
5.980589654;1955;Hjelmsoya;Common guillemot
4.761691893;1956;Hjelmsoya;Common guillemot
4.550675664;1957;Hjelmsoya;Common guillemot
5.098722811;1958;Hjelmsoya;Common guillemot
4.665879025;1959;Hjelmsoya;Common guillemot
5.297114926;1960;Hjelmsoya;Common guillemot
4.671379017;1961;Hjelmsoya;Common guillemot
4.744000959;1962;Hjelmsoya;Common guillemot
4.860917678;1963;Hjelmsoya;Common guillemot
4.61829363;1964;Hjelmsoya;Common guillemot
4.679359318;1965;Hjelmsoya;Common guillemot
4.382830797;1966;Hjelmsoya;Common guillemot
4.120146007;1967;Hjelmsoya;Common guillemot
4.659608717;1968;Hjelmsoya;Common guillemot
4.496209425;1969;Hjelmsoya;Common guillemot
4.687819888;1970;Hjelmsoya;Common guillemot
4.276891034;1971;Hjelmsoya;Common guillemot
4.104550713;1972;Hjelmsoya;Common guillemot
4.797092357;1973;Hjelmsoya;Common guillemot
4.360736581;1974;Hjelmsoya;Common guillemot
4.87706985;1975;Hjelmsoya;Common guillemot
4.579406173;1976;Hjelmsoya;Common guillemot
4.699263775;1977;Hjelmsoya;Common guillemot
5.624684296;1978;Hjelmsoya;Common guillemot
5.309215714;1979;Hjelmsoya;Common guillemot
5.727095709;1980;Hjelmsoya;Common guillemot
5.444818418;1981;Hjelmsoya;Common guillemot
5.127947391;1982;Hjelmsoya;Common guillemot
5.610845339;1983;Hjelmsoya;Common guillemot
6.065381273;1984;Hjelmsoya;Common guillemot
5.980589654;1985;Hjelmsoya;Common guillemot
4.761691893;1986;Hjelmsoya;Common guillemot
