period;species;site;year;season;MeanWin_SST
198001-198012;atpu;anda;1980;Win;-0.720060684
198101-198112;atpu;anda;1981;Win;-1.505431837
198201-198212;atpu;anda;1982;Win;-0.168699418
198301-198312;atpu;anda;1983;Win;0.024042662
198401-198412;atpu;anda;1984;Win;0.988205888
198501-198512;atpu;anda;1985;Win;-0.037104697
198601-198612;atpu;anda;1986;Win;1.022747401
198701-198712;atpu;anda;1987;Win;-0.700311243
198801-198812;atpu;anda;1988;Win;-1.687617392
198901-198912;atpu;anda;1989;Win;-1.652100048
199001-199012;atpu;anda;1990;Win;0.692191959
199101-199112;atpu;anda;1991;Win;0.572466931
199201-199212;atpu;anda;1992;Win;0.544415978
199301-199312;atpu;anda;1993;Win;1.338252012
199401-199412;atpu;anda;1994;Win;-0.020523236
199501-199512;atpu;anda;1995;Win;-0.975854638
199601-199612;atpu;anda;1996;Win;-1.579968189
199701-199712;atpu;anda;1997;Win;0.396972583
199801-199812;atpu;anda;1998;Win;0.968888444
199901-199912;atpu;anda;1999;Win;0.710373491
200001-200012;atpu;anda;2000;Win;1.062408922
200101-200112;atpu;anda;2001;Win;0.984910721
200201-200212;atpu;anda;2002;Win;2.563575169
200301-200312;atpu;anda;2003;Win;1.899654841
200401-200412;atpu;anda;2004;Win;1.886828321
200501-200512;atpu;anda;2005;Win;0.883775832
200601-200612;atpu;anda;2006;Win;1.623762777
200701-200712;atpu;anda;2007;Win;0.71696675
200801-200812;atpu;anda;2008;Win;1.747187193
200901-200912;atpu;anda;2009;Win;1.649394619
201001-201012;atpu;anda;2010;Win;1.726468499
201101-201112;atpu;anda;2011;Win;1.63356495
201201-201212;atpu;anda;2012;Win;1.501499491
201301-201312;atpu;anda;2013;Win;1.220136558
201401-201412;atpu;anda;2014;Win;2.651709569
201501-201512;atpu;anda;2015;Win;2.376767754
201601-201612;atpu;anda;2016;Win;1.433932111
201701-201712;atpu;anda;2017;Win;0.921316108
201801-201812;atpu;anda;2018;Win;1.527677726
201901-201912;atpu;anda;2019;Win;1.746775297
202001-202012;atpu;anda;2020;Win;2.83252494
202101-202112;atpu;anda;2021;Win;2.416530879
202201-202212;atpu;anda;2022;Win;2.780857767
202301-202312;atpu;anda;2023;Win;2.255980276
202401-202412;atpu;anda;2024;Win;1.399916524
202501-202512;atpu;anda;2025;Win;1.720267765
202601-202612;atpu;anda;2026;Win;2.485528747
202701-202712;atpu;anda;2027;Win;2.555636578
202801-202812;atpu;anda;2028;Win;2.506384862
202901-202912;atpu;anda;2029;Win;2.859077426
203001-203012;atpu;anda;2030;Win;2.177852717
203101-203112;atpu;anda;2031;Win;2.05306762
203201-203212;atpu;anda;2032;Win;1.630958347
203301-203312;atpu;anda;2033;Win;2.383179003
203401-203412;atpu;anda;2034;Win;2.556265935
203501-203512;atpu;anda;2035;Win;2.288985676
203601-203612;atpu;anda;2036;Win;2.480617793
203701-203712;atpu;anda;2037;Win;2.410144847
203801-203812;atpu;anda;2038;Win;3.436006941
203901-203912;atpu;anda;2039;Win;3.025166147
204001-204012;atpu;anda;2040;Win;2.794915589
204101-204112;atpu;anda;2041;Win;2.280982396
204201-204212;atpu;anda;2042;Win;2.498497073
204301-204312;atpu;anda;2043;Win;2.45105631
204401-204412;atpu;anda;2044;Win;2.730853162
204501-204512;atpu;anda;2045;Win;2.944114384
204601-204612;atpu;anda;2046;Win;3.177445938
204701-204712;atpu;anda;2047;Win;2.885254199
204801-204812;atpu;anda;2048;Win;2.803190055
204901-204912;atpu;anda;2049;Win;2.921778075
205001-205012;atpu;anda;2050;Win;3.857815058
198001-198012;atpu;hjel;1980;Win;-1.089619838
198101-198112;atpu;hjel;1981;Win;-0.794137486
198201-198212;atpu;hjel;1982;Win;1.479545201
198301-198312;atpu;hjel;1983;Win;0.553442732
198401-198412;atpu;hjel;1984;Win;2.461055385
198501-198512;atpu;hjel;1985;Win;1.666413574
198601-198612;atpu;hjel;1986;Win;1.288526786
198701-198712;atpu;hjel;1987;Win;1.042665667
198801-198812;atpu;hjel;1988;Win;-2.751402414
198901-198912;atpu;hjel;1989;Win;-0.304253278
199001-199012;atpu;hjel;1990;Win;1.650240304
199101-199112;atpu;hjel;1991;Win;1.004601353
199201-199212;atpu;hjel;1992;Win;1.409831892
199301-199312;atpu;hjel;1993;Win;1.180420968
199401-199412;atpu;hjel;1994;Win;1.071474609
199501-199512;atpu;hjel;1995;Win;0.061052944
199601-199612;atpu;hjel;1996;Win;1.218532715
199701-199712;atpu;hjel;1997;Win;1.015790318
199801-199812;atpu;hjel;1998;Win;0.862199707
199901-199912;atpu;hjel;1999;Win;2.362527902
200001-200012;atpu;hjel;2000;Win;2.763481097
200101-200112;atpu;hjel;2001;Win;1.869090751
200201-200212;atpu;hjel;2002;Win;1.065391323
200301-200312;atpu;hjel;2003;Win;0.445574428
200401-200412;atpu;hjel;2004;Win;2.104383719
200501-200512;atpu;hjel;2005;Win;2.928370187
200601-200612;atpu;hjel;2006;Win;2.659634487
200701-200712;atpu;hjel;2007;Win;3.50543736
200801-200812;atpu;hjel;2008;Win;2.7912357
200901-200912;atpu;hjel;2009;Win;2.872200753
201001-201012;atpu;hjel;2010;Win;2.463570033
201101-201112;atpu;hjel;2011;Win;3.117665318
201201-201212;atpu;hjel;2012;Win;3.83106236
201301-201312;atpu;hjel;2013;Win;3.397458845
201401-201412;atpu;hjel;2014;Win;2.218490862
201501-201512;atpu;hjel;2015;Win;4.304480678
201601-201612;atpu;hjel;2016;Win;2.41138916
201701-201712;atpu;hjel;2017;Win;2.830688128
201801-201812;atpu;hjel;2018;Win;3.259223982
201901-201912;atpu;hjel;2019;Win;3.098948103
202001-202012;atpu;hjel;2020;Win;4.23885498
202101-202112;atpu;hjel;2021;Win;3.674972098
202201-202212;atpu;hjel;2022;Win;3.691172573
202301-202312;atpu;hjel;2023;Win;3.549989537
202401-202412;atpu;hjel;2024;Win;2.755295759
202501-202512;atpu;hjel;2025;Win;3.793063965
202601-202612;atpu;hjel;2026;Win;4.378235561
202701-202712;atpu;hjel;2027;Win;4.203659668
202801-202812;atpu;hjel;2028;Win;4.348575265
202901-202912;atpu;hjel;2029;Win;3.688948103
203001-203012;atpu;hjel;2030;Win;3.716659459
203101-203112;atpu;hjel;2031;Win;3.54369315
203201-203212;atpu;hjel;2032;Win;3.426198382
203301-203312;atpu;hjel;2033;Win;3.442574637
203401-203412;atpu;hjel;2034;Win;3.413183594
203501-203512;atpu;hjel;2035;Win;4.360531529
203601-203612;atpu;hjel;2036;Win;4.651752232
203701-203712;atpu;hjel;2037;Win;3.869179339
203801-203812;atpu;hjel;2038;Win;3.787444196
203901-203912;atpu;hjel;2039;Win;3.331010742
204001-204012;atpu;hjel;2040;Win;3.949915597
204101-204112;atpu;hjel;2041;Win;4.701253836
204201-204212;atpu;hjel;2042;Win;4.465899135
204301-204312;atpu;hjel;2043;Win;5.266686314
204401-204412;atpu;hjel;2044;Win;4.48242606
204501-204512;atpu;hjel;2045;Win;4.508738491
204601-204612;atpu;hjel;2046;Win;4.208666992
204701-204712;atpu;hjel;2047;Win;4.782975725
204801-204812;atpu;hjel;2048;Win;5.570511998
204901-204912;atpu;hjel;2049;Win;5.137380022
205001-205012;atpu;hjel;2050;Win;4.25206264
198001-198012;atpu;horn;1980;Win;1.276418507
198101-198112;atpu;horn;1981;Win;1.214022142
198201-198212;atpu;horn;1982;Win;1.833092514
198301-198312;atpu;horn;1983;Win;1.967614995
198401-198412;atpu;horn;1984;Win;2.577162388
198501-198512;atpu;horn;1985;Win;1.918905951
198601-198612;atpu;horn;1986;Win;2.116177057
198701-198712;atpu;horn;1987;Win;2.001110092
198801-198812;atpu;horn;1988;Win;0.855069655
198901-198912;atpu;horn;1989;Win;2.075654695
199001-199012;atpu;horn;1990;Win;2.441453085
199101-199112;atpu;horn;1991;Win;2.420248226
199201-199212;atpu;horn;1992;Win;2.822901387
199301-199312;atpu;horn;1993;Win;1.960479114
199401-199412;atpu;horn;1994;Win;2.147632334
199501-199512;atpu;horn;1995;Win;2.353823541
199601-199612;atpu;horn;1996;Win;2.158609196
199701-199712;atpu;horn;1997;Win;2.149121094
199801-199812;atpu;horn;1998;Win;0.46052545
199901-199912;atpu;horn;1999;Win;3.133771624
200001-200012;atpu;horn;2000;Win;3.612370456
200101-200112;atpu;horn;2001;Win;2.564226423
200201-200212;atpu;horn;2002;Win;2.719857103
200301-200312;atpu;horn;2003;Win;2.274357262
200401-200412;atpu;horn;2004;Win;2.670215342
