"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"1",2007,0.756009,0.0431016,0.662161,0.8304619,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"2",2009,0.8616166,0.0527172,0.7235618,0.9367527,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"3",2010,0.9376062,0.048764,0.7457524,0.9871775,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"4",2011,0.8503282,0.0524125,0.7170769,0.9271928,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"5",2013,0.7841406,0.0687505,0.6210158,0.8895409,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"6",2014,0.8551372,0.0527099,0.7194016,0.9314676,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"7",2015,0.7330775,0.0524036,0.6190191,0.8227658,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"8",2016,0.8602327,0.0447325,0.748006,0.9273341,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"9",2017,0.8983041,0.039849,0.7897734,0.9540641,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"10",2018,0.9575195,0.0538795,0.6269316,0.9967033,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"11",2019,0.9776112,0.0915499,0.0118722,0.9999937,"Atlantic puffin","Anda","Atlantic puffin-Anda"
"12",2008,0.8015282,0.053035,0.6775293,0.8858774,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"13",2009,0.9321026,0.0544504,0.7177084,0.986689,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"14",2010,0.9786227,0.0737715,0.0436155,0.9999782,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"15",2011,0.8877421,0.0959023,0.545303,0.981184,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"16",2012,0.8043369,0.1331917,0.4390185,0.9557395,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"17",2014,0.9264591,0.1375288,0.1942199,0.9984836,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"18",2015,0.4774903,0.0749047,0.336586,0.6220705,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"19",2016,0.937684,0.1109135,0.2671443,0.9983926,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"20",2017,0.9241852,0.2424378,0.0136381,0.999907,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"21",2018,0.6811098,0.5310645,0.0174051,0.9961322,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"22",2019,0.4562662,1.7991655,5.63224e-07,0.9999992,"Atlantic puffin","Hjelmsøya","Atlantic puffin-Hjelmsøya"
"23",1992,0.8121264,0.0444788,0.7094085,0.8844497,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"24",1993,0.9488677,0.0306907,0.8430402,0.9846426,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"25",1994,0.9019001,0.0326871,0.8167387,0.9499139,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"26",1995,0.8818071,0.0272462,0.817167,0.9256726,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"27",1996,0.9353943,0.0196668,0.8844032,0.9647881,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"28",1997,0.9431163,0.0223813,0.8797953,0.9740646,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"29",1998,0.9317555,0.0247449,0.8642726,0.9669686,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"30",1999,0.8504636,0.0312478,0.7784501,0.9020158,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"31",2000,0.9262886,0.0319414,0.8339818,0.9691697,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"32",2001,0.9508607,0.0383475,0.7948011,0.9897614,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"33",2002,0.8116085,0.0456607,0.7058222,0.8855238,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"34",2003,0.8823489,0.0535215,0.7319105,0.9537081,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"35",2004,0.6618592,0.0569204,0.5431661,0.7631604,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"36",2005,0.8404163,0.0709397,0.6512655,0.9369116,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"37",2006,0.7962162,0.0537236,0.6712506,0.8820279,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"38",2007,0.9019343,0.0431879,0.7793482,0.9599186,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"39",2008,0.97323,0.0460132,0.5328918,0.9991376,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"40",2009,0.8800748,0.0492916,0.7460705,0.9482657,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"41",2010,0.8744345,0.0466763,0.7516702,0.9412524,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"42",2011,0.817823,0.0551269,0.684915,0.9026377,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"43",2012,0.861019,0.0601187,0.6982743,0.9431315,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"44",2013,0.9519142,0.0737498,0.4569963,0.997857,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"45",2014,0.6396787,0.0627299,0.5101331,0.7516444,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"46",2015,0.6110965,0.0550338,0.4995128,0.7121392,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"47",2016,0.9087764,0.0366468,0.8072697,0.9595037,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"48",2017,0.9705262,0.0379555,0.7096443,0.997751,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"49",2018,0.857746,0.0478367,0.7365827,0.9285818,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"50",2019,0.5873492,0.0461259,0.4950019,0.6739333,"Atlantic puffin","Hornøya","Atlantic puffin-Hornøya"
"51",1991,0.9688758,0.0241974,0.8659256,0.9933792,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"52",1992,0.9440374,0.0182624,0.8954776,0.9707732,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"53",1993,0.9622603,0.0166522,0.9121223,0.9842852,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"54",1994,0.9744743,0.0187777,0.8968397,0.9940703,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"55",1995,0.8696228,0.0299251,0.7990405,0.9179601,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"56",1996,0.8884393,0.0308999,0.812121,0.9361921,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"57",1997,0.9138731,0.0292645,0.836598,0.9565038,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"58",1998,0.815668,0.0368455,0.7324235,0.8773514,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"59",1999,0.8992464,0.0283392,0.8286113,0.9427807,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"60",2000,0.8957029,0.0269768,0.8298228,0.937985,"Atlantic puffin","Røst","Atlantic puffin-Røst"
